"","PlayerName","pos","points","value"
"1","Aaron Rodgers","qb",395.586,94.1907207701372
"2","Cam Newton","qb",384.832,85.0461389469928
"3","Russell Wilson","qb",374.956,76.6481577227621
"4","Andrew Luck","qb",366.98,69.8658269973204
"5","Adrian Peterson","rb",201.42,64.0061177409238
"6","Antonio Brown","wr",146.74,62.0630854305383
"7","Todd Gurley","rb",198.005,61.1021985549429
"8","Drew Brees","qb",356.022,60.547775331148
"9","Odell Beckham Jr.","wr",138.855,55.3581358605649
"10","Jamaal Charles","rb",190.29,54.5418071874927
"11","Julio Jones","wr",132.535,49.9839720961727
"12","David Johnson","rb",183.78,49.0060783732216
"13","Lamar Miller","rb",181.915,47.4201898573052
"14","Rob Gronkowski","te",114.95,47.1778422824869
"15","Ben Roethlisberger","qb",340.088,46.9984200428846
"16","DeAndre Hopkins","wr",128.56,46.603861184233
"17","Carson Palmer","qb",334.408,42.1684753938738
"18","Ezekiel Elliott","rb",172.825,39.6905777341525
"19","Dez Bryant","wr",120.155,39.456733583012
"20","Le'Veon Bell","rb",170.18,37.441422171365
"21","Blake Bortles","qb",327.998,36.7177808163811
"22","A.J. Green","wr",116.775,36.5825763799036
"23","Jordy Nelson","wr",114.615,34.7458368654911
"24","Eli Manning","qb",324.79,33.9898825005314
"25","Eddie Lacy","rb",164.77,32.8410699616559
"26","Philip Rivers","qb",323.424,32.8283148261391
"27","LeSean McCoy","rb",164.065,32.2415785923684
"28","Devonta Freeman","rb",162.295,30.7364726013915
"29","Doug Martin","rb",161.83,30.3410634003722
"30","Allen Robinson","wr",109.28,30.2092603333657
"31","Alshon Jeffery","wr",108.915,29.8988853691247
"32","Mark Ingram","rb",160.26,29.0060258829519
"33","Thomas Rawls","rb",158.4,27.4243890788745
"34","Brandon Marshall","wr",105.195,26.7356117609698
"35","Sammy Watkins","wr",104.38,26.0425827312262
"36","Mike Evans","wr",103.93,25.6599286657236
"37","T.Y. Hilton","wr",103.875,25.6131598354955
"38","Brandin Cooks","wr",103.055,24.915879093913
"39","Randall Cobb","wr",100.625,22.8495471401989
"40","Greg Olsen","te",86.065,22.6157029890584
"41","Kirk Cousins","qb",311.308,22.5255666980733
"42","Tony Romo","qb",310.968,22.2364502930269
"43","Andy Dalton","qb",310.57,21.8980140306491
"44","Jordan Reed","te",84.965,21.6803263844965
"45","Tyrod Taylor","qb",309.618,21.0884880965191
"46","Demaryius Thomas","wr",98.515,21.0553247441756
"47","Keenan Allen","wr",98.33,20.8980114061356
"48","C.J. Anderson","rb",150.68,20.8597459995853
"49","Matthew Stafford","qb",309.338,20.8503922335397
"50","Derek Carr","qb",308.99,20.554473089551
"51","Amari Cooper","wr",97.015,19.7798111925002
"52","Doug Baldwin","wr",95.07,18.1258952871611
"53","Kelvin Benjamin","wr",94.98,18.0493644740606
"54","Eric Decker","wr",94.74,17.8452823057926
"55","Jeremy Maclin","wr",94.075,17.2798046312165
"56","Carlos Hyde","rb",145.47,16.4294622634329
"57","Jameis Winston","qb",303.206,15.6360928342908
"58","Jonathan Stewart","rb",144.01,15.1879624064689
"59","Latavius Murray","rb",143.575,14.818063476483
"60","Michael Floyd","wr",90.74,14.4439128346583
"61","Ryan Fitzpatrick","qb",301.148,13.8860882413922
"62","Julian Edelman","wr",89.285,13.2066646895332
"63","Jarvis Landry","wr",88.405,12.4583634058836
"64","Matt Ryan","qb",299.37,12.374179511473
"65","Ryan Tannehill","qb",299.28,12.2976486983725
"66","Larry Fitzgerald","wr",87.635,11.8035997826903
"67","Jeremy Hill","rb",139.83,11.6335313091336
"68","Delanie Walker","te",72.665,11.2211152607585
"69","Golden Tate","wr",86.89,11.1700947186915
"70","Jordan Matthews","wr",86.43,10.7789372295111
"71","Matt Forte","rb",138.575,10.5663516375652
"72","Coby Fleener","te",71.69,10.3920314521696
"73","DeMarco Murray","rb",138.03,10.1029150471231
"74","Travis Kelce","te",71.16,9.94134999724426
"75","DeSean Jackson","wr",84.675,9.28658637405092
"76","Donte Moncrief","wr",82.625,7.5433845200946
"77","Tyler Eifert","te",68.155,7.38607118205463
"78","Antonio Gates","te",67.815,7.09695477700821
"79","John Brown","wr",81.965,6.98215855735743
"80","Emmanuel Sanders","wr",81.545,6.62501476288833
"81","Gary Barnidge","te",66.94,6.35290520519758
"82","Matt Jones","rb",133.11,5.91923059762798
"83","Allen Hurns","wr",80.5,5.73640698855449
"84","Alex Smith","qb",290.992,5.25001115418229
"85","Ladarius Green","te",64.93,4.64371704595261
"86","Michael Crabtree","wr",78.87,4.35034892906727
"87","Devante Parker","wr",78.865,4.34609721722835
"88","Jimmy Graham","te",63.495,3.42347574818318
"89","Ryan Mathews","rb",129.865,3.15986961417028
"90","Tom Brady","qb",288.084,2.77721554866765
"91","Joe Flacco","qb",287.612,2.37585395107382
"92","Jeremy Langford","rb",128.92,2.35629607661481
"93","Marcus Mariota","qb",285.994,1
"94","Frank Gore","rb",127.325,1
"95","Stefon Diggs","wr",74.93,1
"96","Jason Witten","te",60.645,1
"97","Stephen Gostkowski","k",0,1
"98","Mason Crosby","k",0,1
"99","Steven Hauschka","k",0,1
"100","Justin Tucker","k",0,1
"101","Graham Gano","k",0,1
"102","Chris Boswell","k",0,1
"103","Dan Bailey","k",0,1
"104","Chandler Catanzaro","k",0,1
"105","Josh Brown","k",0,1
"106","Blair Walsh","k",0,1
"107","Brandon McManus","k",0,1
"108","Adam Vinatieri","k",0,1
"109","Cairo Santos","k",0,1
"110","Mike Nugent","k",0,1
"111","Robbie Gould","k",0,1
"112","Dan Carpenter","k",0,1
"113","Matt Prater","k",0,1
"114","Nick Novak","k",0,1
"115","Matt Bryant","k",0,1
"116","Nick Folk","k",0,1
"117","Dustin Hopkins","k",0,1
"118","Sebastian Janikowski","k",0,1
"119","Jason Myers","k",0,1
"120","Roberto Aguayo","k",0,1
"121","Josh Lambo","k",0,1
"122","Phil Dawson","k",0,1
"123","Greg Zuerlein","k",0,1
"124","Andrew Franks","k",0,1
"125","Travis Coons","k",0,1
"126","Caleb Sturgis","k",0,1
"127","Cody Parkey","k",0,1
"128","Ryan Succop","k",0,1
"129","Kai Forbath","k",0,1
"130","Shaun Suisham","k",0,1
"131","Connor Barth","k",0,1
"132","Tom Obarski","k",0,1
